Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
保加利亚,BGR,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,4.069104622,10.12006181,17.9803222,19.80477954,18.7666709,19.09293129,17.69771781,24.66461106,26.56022146,28.88294879,28.50779011,31.54064181,28.86178862,28.60626136,35.60560627,32.85959213,34.79983864,32.26469581,32.44032575,36.77395584,40.21451236,41.30512814,42.33074258,41.64848314,40.73716944,41.59499198,44.72272794,44.91431984,47.95465864,40.82404082,40.59045044,42.42017648,42.83987517,34.1034539,35.36021891,35.99726292,33.13775344,32.61299802,,,
巴林,BHR,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴哈马,BHS,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
白俄罗斯,BLR,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
伯利兹,BLZ,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴西,BRA,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91589181,1.745644923,0.071241985,0.478530081,0.282860426,0.826099322,1.003944871,0.615245458,0.727665348,0.175413531,0.021150511,0.914002489,0.833224617,1.028956238,1.014769323,1.188171465,1.732825084,4.346621696,4.002649919,3.666365665,2.996750574,2.445209201,3.279939524,2.774364423,3.016280878,2.779529687,2.815637129,2.944760587,,,
巴巴多斯,BRB,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
不丹,BTN,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
中非共和国,CAF,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0,0,0,0.074712598,0.109818182,0.08695475,0.106645503,0.090477401,0.508578805,0.270693467,0.494959716,1.923519044,2.92978828,5.647935249,5.183499991,4.536595929,5.839983905,8.180084838,9.099260149,9.821781627,10.18865296,10.26148645,9.8972761,11.91918201,11.94709503,13.18804641,15.21245395,15.56903,16.38212234,15.99135083,15.13709415,16.70334598,15.48822843,17.6534484,19.40601757,17.47198686,16.19170962,14.38772664,12.73232927,12.69395193,12.02105034,13.00400149,12.56341927,12.70342062,15.06789028,14.70210037,15.97159272,14.63368822,14.65831435,14.67449376,15.0621456,14.69496513,14.93728055,,
,CEB,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0.001187423,0.085967473,0.492295097,0.889529011,1.640711334,1.724423434,1.609109321,2.250914492,2.771389958,3.706428113,4.230172312,5.174065067,5.859495613,7.311386193,8.422932958,10.06194031,11.56282544,11.52245303,17.33933046,17.47330311,17.30514547,17.50586759,17.32096741,17.57348174,18.09668984,18.66583098,18.91087763,18.57943232,19.17970894,20.02816876,21.80642144,21.46206557,21.31428311,20.80941521,20.43756648,19.73865892,21.3566302,22.15170586,19.38550621,19.67492416,,,
瑞士,CHE,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,1.81768763,5.078214861,4.461049998,12.04554723,17.13882174,19.0474907,18.05765606,21.99900244,17.68141207,19.86982249,25.96502804,29.77893098,29.57518231,28.82037023,30.09866845,37.2111795,40.6179664,39.93739057,39.12407518,38.19162841,42.48637184,42.9792341,40.34911929,40.21196687,38.36775603,37.23919722,39.99389529,44.69688889,40.98688562,41.45801233,37.61303569,39.99455568,37.73061822,41.59958452,42.03033732,42.21223557,40.39143752,44.77186771,42.03230128,41.32108121,41.52567795,39.87193267,42.46625435,37.42001912,,
海峡群岛,CHI,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
中国,CHN,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191343724,1.589866915,1.273371522,1.327440183,1.269444924,1.207828786,1.205748296,1.234076345,1.179279986,1.51832021,2.267222827,2.289136298,2.121400297,1.911022449,1.889883632,1.964219917,1.874216838,1.755650018,1.831111119,,,
科特迪瓦,CIV,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
喀麦隆,CMR,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
刚果（布）,COG,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
哥伦比亚,COL,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
科摩罗,COM,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,CPV,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥斯达黎加,CRI,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
加勒比小国,CSS,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古巴,CUB,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
库拉索,CUW,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
捷克共和国,CZE,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.353038781,2.135323314,4.124154781,10.14586015,17.20528651,18.36664905,19.06618968,20.21004962,20.12007032,20.74267233,21.52794353,22.22507664,20.1898473,20.13380756,19.45590731,20.3918049,20.81859131,18.63916281,19.86825444,24.65688532,31.24034003,31.41783029,30.18149418,31.13539102,29.82088328,31.92530601,33.30354848,32.81566826,32.60175441,34.91336135,,
德国,DEU,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0,0.018997111,0.072848599,0.037519932,0.063586784,0.06824346,0.149986133,0.667764162,0.873647602,2.198394286,2.103176788,1.899471045,2.752969952,3.233854768,3.702091596,6.289704771,7.007923156,9.6830676,9.793648739,11.13494577,11.92027276,14.01065128,15.89928841,16.37193012,20.72936393,26.63304902,25.00685111,26.71702481,28.66339249,29.00464122,27.84040902,27.47701679,29.7568544,29.3358495,28.69412896,28.73254081,29.05731163,31.08112793,29.26345327,30.76744881,29.63518215,29.43961532,28.32560649,27.43943492,27.45566895,26.58051832,26.57645205,22.32307091,23.52541385,23.09225985,22.59862662,17.92290748,16.27969785,,
吉布提,DJI,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多米尼克,DMA,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹麦,DNK,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
多米尼加共和国,DOM,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔及利亚,DZA,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
东亚与太平洋,EAP,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152477219,1.264197689,1.005557574,1.041321403,0.991942388,0.946209748,0.946509412,0.971903604,0.934036435,1.214809448,1.83957886,1.884248191,1.768779759,1.614478738,1.614944205,1.682938774,1.608611265,1.51397592,1.595889609,,,
