CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
巴哈马,BHS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
白俄罗斯,BLR,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
伯利兹,BLZ,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴西,BRA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1643000000,3381000000,144000000,973000000,608000000,1830000000,2237000000,1442000000,1759000000,442000000,55000000,2519000000,2427000000,3169000000,3265000000,3977000000,6046000000,14279000000,13836000000,13358000000,11611000000,9855000000,13754000000,12350000000,13969000000,12957000000,14523000000,15659000000,,,
巴巴多斯,BRB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
不丹,BTN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
中非共和国,CAF,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,93000000,151000000,128000000,172000000,153000000,918000000,529000000,1037000000,4267000000,7211000000,15254000000,14696000000,12570000000,17416000000,26342000000,31202000000,35271000000,38032000000,40067000000,38337000000,48610000000,52210000000,60521000000,71267000000,77261000000,82867000000,79872000000,72967000000,84930000000,80582000000,93937000000,1.08E+11,97844000000,92767000000,82528000000,71511000000,73491000000,72799000000,76695000000,75526000000,74892000000,90387000000,92040000000,97964000000,93492000000,93951000000,90092000000,90658000000,93589000000,96443000000,,
,CEB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,3000000,232000000,1414000000,2741000000,5431000000,5998000000,5929000000,8327000000,10688000000,14252000000,16586000000,21141000000,24979000000,31390000000,37359000000,45636000000,52765000000,53032000000,74672000000,72683000000,67425000000,68098000000,67271000000,71555000000,76336000000,77729000000,79323000000,76140000000,81078000000,87596000000,96049000000,97626000000,98190000000,96718000000,96843000000,94063000000,1.01E+11,1.00E+11,90862000000,93655000000,,,
瑞士,CHE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,535000000,1766000000,1391000000,3840000000,6310000000,7067000000,7761000000,7939000000,8114000000,8395000000,11805000000,14346000000,15330000000,15133000000,15710000000,18440000000,22558000000,22581000000,23003000000,22792000000,22836000000,23636000000,22953000000,23448000000,23351000000,24363000000,24895000000,25142000000,25409000000,25830000000,25830000000,26446000000,26811000000,27234000000,27487000000,26958000000,23341000000,27819000000,27925000000,27700000000,27686000000,26339000000,26710000000,25440000000,,
海峡群岛,CHI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
中国,CHN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604000000,14756000000,12833000000,14338000000,14418000000,14100000000,14949000000,16737000000,17472000000,25127000000,43342000000,50469000000,53088000000,54843000000,62130000000,68394000000,70134000000,73880000000,86350000000,,,
科特迪瓦,CIV,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
