Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
贝宁,BEN,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
布基纳法索,BFA,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国,BGD,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177707199,0.934452871,2.389474703,3.024563653,2.769644056,1.747782306,1.770273031,,,
保加利亚,BGR,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,81.50456795,81.38835257,77.27728184,70.15697623,64.87300392,52.76246081,47.02793672,45.86561666,47.25346021,49.15171523,45.79140972,47.03774191,45.06424686,45.55873926,36.44792467,42.10186514,44.16534401,36.58070678,38.26249774,50.25984196,51.3924918,50.59253019,45.78782535,44.96892455,42.02302041,40.72712801,44.99659792,44.75809368,43.36252926,42.33380898,45.3829191,41.19851075,45.97902098,46.12320765,42.35649959,42.20913366,52.31618418,52.0814642,49.79353956,49.12532325,55.04867761,,,
巴林,BHR,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴哈马,BHS,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76052488,62.72760247,47.77011494,28.85482417,17.64844486,16.40536242,29.26430518,46.48031945,49.33348022,45.10537719,50.69517691,50.43241211,49.89337042,58.83188354,51.98774356,51.28551024,54.79750545,64.7233537,67.16589085,59.554506,52.53445457,70.71989529,,,
白俄罗斯,BLR,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006584145,0.040120361,0.024850895,,,
伯利兹,BLZ,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴西,BRA,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,3.303670098,3.467702428,2.161385511,1.83826606,2.061163474,1.66605578,1.774081774,2.713587453,2.397949122,2.465902813,3.168385073,3.071248225,2.427196416,2.711441122,2.553670449,3.059447479,2.698063748,2.263348639,2.525697106,2.133551146,2.425568953,2.109774461,1.985903419,1.934310359,2.003621177,2.09284601,2.397867408,2.193020625,2.9374156,3.154395116,3.398090762,2.662647431,2.495752582,2.731169974,2.665290435,2.503952668,2.268464125,2.607531525,2.098430146,2.198147337,2.327938649,,,
巴巴多斯,BRB,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
不丹,BTN,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,78.17164179,81.99233716,85.96112311,88.84210526,95.27720739,91.62479062,94.4812362,84.52970297,86.91037736,88.0794702,96.47058824,97.33096085,96.79715302,97.24264706,97.98270893,97.62219287,96.87092568,97.87234043,97.60638298,97.14889124,97.62376238,96.76339286,95.99447514,93.51969504,99.30795848,99.30715935,99.17355372,100,100,100,100,,,
中非共和国,CAF,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,3.377714158,4.053948567,7.098920622,10.91687621,11.89309091,13.42499813,12.35289741,13.55978309,15.10833615,15.07849599,17.92641949,18.80108009,17.15415212,12.92427087,12.2713084,13.11065396,13.72376098,15.00251532,14.55555005,14.6748907,16.02237474,16.25595452,17.86192813,18.08596719,19.21466328,17.31850393,15.29527534,16.97639084,18.14276507,18.37107334,17.05664041,17.40251465,17.30417718,15.48230934,15.59388345,15.60753922,15.70735641,17.3303696,19.034664,18.6406308,19.416905,19.98897894,19.60166878,19.10500015,16.87979795,17.56840294,17.63178145,18.11367357,17.47745499,14.04006281,13.8436566,11.9903655,11.82740574,,
,CEB,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,60.05833597,60.11525733,60.233925,58.53298188,58.74558629,56.58173238,55.74591189,55.38142302,55.47056685,56.29697011,51.82705816,53.60224613,54.06421974,54.28812481,55.09510322,54.36567074,53.99661023,53.66737566,53.76891262,59.13767761,58.51175336,61.9484426,61.01912334,60.91446757,60.3395092,59.58755212,60.24508674,58.76073114,59.17185609,61.20980867,59.66220356,57.86038296,59.70449154,58.32285962,57.35939584,58.03379987,59.28249766,57.25762556,55.59743845,55.75610557,57.45821534,,,
瑞士,CHE,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037045108,0.059171598,0.103376223,0.134924754,0.160126558,0.158071151,0.141776032,0.189688225,0.183661343,0.139721618,0.062930521,0.051945441,0.093024987,0.072735207,0.015821116,0.015434481,0.001643088,0.001528514,0.001606503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
海峡群岛,CHI,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,16.14265603,9.558988135,13.99726215,11.41228353,9.184608337,10.66077396,10.84288052,11.59266409,14.50511945,16.08373755,16.06278177,9.620082554,10.80481622,15.55901311,12.28632479,10.75013565,9.835646224,17.83624002,30.35202964,35.51600261,21.29151846,11.63081876,11.86934966,18.56628556,22.80301138,30.90814434,28.15268643,31.94119801,33.2638708,21.12630371,11.37288096,11.56831765,10.41662218,15.07186377,13.74133069,19.15943601,22.66147088,23.63660726,24.53311814,27.90813118,29.85558413,35.1173503,,
中国,CHN,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,70.45736994,64.14238845,58.58093525,57.37263033,56.50786356,51.37596613,57.37632272,61.8400948,57.98652243,54.60166983,54.15397549,55.62805176,56.01781243,59.34285487,64.26112153,67.34077815,68.98264524,69.17297922,69.83550213,71.27513667,73.71026373,75.18890335,73.72542891,74.93923252,73.87172218,76.28837059,76.47423955,75.76872734,77.7844365,78.31551565,76.35054962,77.64074539,79.44334768,77.89975861,78.79215088,80.21032641,80.900951,78.80966447,78.58993069,77.24075884,78.95394888,,,
科特迪瓦,CIV,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
