CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
贝宁,BEN,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,0,0,9000000,3000000,4000000,4000000,5000000,5000000,8000000,10000000,15000000,7000000,21000000,61000000,24000000,26000000,26000000,20000000,20000000,21000000,23000000,25000000,26000000,52000000,33000000,47000000,57000000,77000000,70000000,82000000,64000000,61000000,78000000,80000000,106000000,150000000,217000000,226000000,127000000,149000000,153000000,,,
布基纳法索,BFA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国,BGD,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,444000000,444000000,586000000,557000000,531000000,580000000,597000000,751000000,719000000,626000000,694000000,755000000,632000000,735000000,880000000,1318000000,841000000,791000000,583000000,333000000,146000000,396000000,625000000,656000000,922000000,741000000,1118000000,1121000000,1339000000,1028000000,1172000000,1258000000,1329000000,1447000000,1526000000,1640000000,1643000000,1739000000,1832000000,1962000000,2101000000,,,
保加利亚,BGR,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1717000000,2050000000,2419000000,3798000000,3858000000,5164000000,6325000000,8229000000,7582000000,7835000000,7305000000,7632000000,7760000000,8325000000,7834000000,7475000000,6499000000,1226000000,1830000000,1230000000,1352000000,1213000000,1644000000,1626000000,1443000000,1335000000,926000000,905000000,927000000,661000000,579000000,830000000,789000000,822000000,606000000,379000000,568000000,277000000,328000000,393000000,137000000,,,
巴林,BHR,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514000000,253000000,5000000,0,0,0,,,
巴哈马,BHS,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074000000,0,0,0,36000000,36000000,36000000,36000000,42000000,42000000,48000000,92000000,136000000,137000000,132000000,141000000,159000000,156000000,0,33000000,48000000,38000000,,,
白俄罗斯,BLR,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18899000000,18622000000,11645000000,9341000000,8770000000,6999000000,4639000000,3492000000,3111000000,3203000000,1714000000,1456000000,1355000000,1086000000,1515000000,911000000,1466000000,174000000,959000000,5356000000,713000000,341000000,,,
伯利兹,BLZ,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,104000000,133000000,136000000,152000000,156000000,162000000,166000000,184000000,184000000,206000000,251000000,178000000,204000000,236000000,195000000,205000000,158000000,118000000,125000000,199000000,67000000,131000000,54000000,57000000,67000000,51000000,40000000,71000000,74000000,30000000,47000000,51000000,57000000,57000000,64000000,88000000,101000000,98000000,104000000,131000000,115000000,,,
巴西,BRA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,6057000000,3782000000,4687000000,3917000000,4155000000,4756000000,4623000000,5592000000,5379000000,5231000000,5044000000,4108000000,4090000000,3438000000,3914000000,10188000000,7707000000,7042000000,6005000000,4937000000,5096000000,6241000000,6123000000,6384000000,7501000000,9258000000,9896000000,11127000000,16520000000,15169000000,15818000000,13439000000,10755000000,12128000000,11678000000,12374000000,13333000000,17554000000,14639000000,16065000000,14796000000,,,
巴巴多斯,BRB,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
