Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
比利时,BEL,耗电量（千瓦时）,EG.USE.ELEC.KH,14429000000,14947000000,16165000000,17474000000,19347000000,20479000000,21487000000,22588000000,24972000000,27304000000,29271000000,31119000000,35080000000,38398000000,40403000000,38100000000,41702000000,43301000000,45492000000,48317000000,48250000000,48417000000,48336000000,49711000000,52091000000,54247000000,55398000000,58007000000,59975000000,61671000000,63595000000,66584000000,68816000000,69392000000,72592000000,74807000000,76456000000,78412000000,80737000000,81240000000,84549000000,85041000000,85885000000,87283000000,89374000000,89173000000,91595000000,91535000000,91265000000,85325000000,91388000000,88618000000,,,
贝宁,BEN,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,32000000,36000000,58000000,54000000,59000000,65000000,,,,,,,,135000000,,,,,,,,,,225000000,,271000000,301000000,290000000,346000000,399000000,,,,,,617000000,674000000,751000000,,,,,,
布基纳法索,BFA,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国,BGD,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,710000000,710000000,1042000000,1178000000,1211000000,1261000000,1367000000,1651000000,1661000000,1522000000,1867000000,2168000000,2537000000,2867000000,3041000000,3535000000,3769000000,4174000000,5094000000,5136000000,5324000000,6523000000,7414000000,8013000000,9010000000,9640000000,10063000000,10896000000,12164000000,13354000000,14979000000,16293000000,17441000000,22646000000,24482000000,27758000000,29409000000,30026000000,33011000000,37394000000,39533000000,,,
保加利亚,BGR,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,19571000000,21321000000,23131000000,24667000000,26473000000,28444000000,30267000000,32157000000,33294000000,35213000000,36679000000,39218000000,40963000000,42763000000,41920000000,41622000000,43409000000,44373000000,44058000000,41488000000,37647000000,31902000000,32260000000,32300000000,35399000000,36382000000,33000000000,32469000000,29668000000,30014000000,30908000000,30203000000,31085000000,30650000000,31901000000,33193000000,34130000000,35024000000,33379000000,33727000000,35740000000,,,
巴林,BHR,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,430000000,450000000,500000000,575000000,700000000,900000000,1110000000,1212000000,1474000000,1660000000,1814000000,2009000000,2216000000,2093000000,2429000000,2887000000,2708000000,2954000000,3093000000,3240000000,3163000000,3700000000,4044000000,4386000000,4550000000,4800000000,4955000000,5313000000,5563000000,5740000000,6203000000,6735000000,7465000000,8051000000,8456000000,9317000000,10763000000,10194000000,10777000000,12384000000,12951000000,,,
巴哈马,BHS,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13112000000,9202000000,4705000000,2887000000,3519000000,3673000000,4240000000,5173000000,6627000000,6867000000,7616000000,7768000000,7865000000,8403000000,8740000000,8998000000,8979000000,8965000000,11212000000,10803000000,11693000000,12242000000,,,
白俄罗斯,BLR,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44637000000,45119000000,39974000000,35327000000,31380000000,28441000000,28514000000,29876000000,30371000000,30134000000,29902000000,29879000000,29604000000,30008000000,30884000000,31363000000,32330000000,32449000000,33174000000,31360000000,33821000000,34365000000,,,
伯利兹,BLZ,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,760000000,815000000,832000000,889000000,948000000,1021000000,1131000000,1216000000,1296000000,1414000000,1516000000,1541000000,1508000000,1529000000,1514000000,1483000000,1505000000,1617000000,1733000000,1827000000,1967000000,2077000000,2286000000,2485000000,2680000000,2877000000,3082000000,3280000000,3453000000,3501000000,3558000000,3741000000,3874000000,4034000000,4367000000,4727000000,5114000000,5187000000,5458000000,6018000000,6436000000,,,
巴西,BRA,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,44832000000,49834000000,56717000000,63344000000,69852000000,79278000000,88839000000,99039000000,1.11007E+11,1.22705E+11,1.26232E+11,1.33575E+11,1.43913E+11,1.6E+11,1.73564E+11,1.87069E+11,1.92755E+11,2.03898E+11,2.12166E+11,2.17658E+11,2.25384E+11,2.30473E+11,2.4117E+11,2.49793E+11,2.64805E+11,2.77719E+11,2.94691E+11,3.0703E+11,3.15753E+11,3.31639E+11,3.09728E+11,3.24365E+11,3.42213E+11,3.59946E+11,3.75195E+11,3.89951E+11,4.12128E+11,4.28251E+11,4.2603E+11,4.647E+11,4.8012E+11,,,
巴巴多斯,BRB,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,238000000,238000000,235000000,239000000,239000000,239000000,239000000,239000000,239000000,328000000,453000000,543000000,653000000,718000000,733000000,743000000,996000000,1047000000,1081000000,1119000000,1191000000,1320000000,1484000000,1615000000,1897000000,2080000000,2378000000,2475000000,2406000000,2514000000,2442000000,2557000000,3021000000,3090000000,3090000000,3122000000,3230000000,3259000000,3394000000,3424000000,3458000000,,,
不丹,BTN,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,546000000,604000000,623000000,661000000,710000000,837000000,978000000,863000000,908000000,990000000,1131000000,1262000000,1290000000,1381000000,1375000000,1448000000,1585000000,1728000000,1728000000,1592000000,2023000000,2252000000,2408000000,2526000000,2666000000,2737000000,2872000000,2956000000,2989000000,3184000000,3184000000,,,
中非共和国,CAF,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,耗电量（千瓦时）,EG.USE.ELEC.KH,1.00839E+11,1.02411E+11,1.07796E+11,1.1314E+11,1.25012E+11,1.35973E+11,1.47535E+11,1.55747E+11,1.66583E+11,1.7943E+11,1.9111E+11,2.01319E+11,2.1782E+11,2.30359E+11,2.46431E+11,2.42231E+11,2.59729E+11,2.799E+11,2.94005E+11,3.0065E+11,3.13898E+11,3.28601E+11,3.26045E+11,3.41358E+11,3.67292E+11,3.83943E+11,4.00989E+11,4.17811E+11,4.39099E+11,4.49086E+11,4.47693E+11,4.5369E+11,4.58605E+11,4.68139E+11,4.75271E+11,4.84437E+11,4.91743E+11,4.98044E+11,4.95624E+11,5.07061E+11,5.22795E+11,5.22398E+11,5.31887E+11,5.44547E+11,5.51447E+11,5.59619E+11,5.46009E+11,5.54759E+11,5.48074E+11,5.09943E+11,5.51273E+11,5.65734E+11,,,
,CEB,耗电量（千瓦时）,EG.USE.ELEC.KH,26809000000,29602000000,32193000000,33559000000,36341000000,50856000000,55548000000,60817000000,65591000000,70506000000,75442000000,1.80764E+11,1.9553E+11,2.09864E+11,2.23368E+11,2.39778E+11,2.56837E+11,2.71379E+11,2.86083E+11,2.9115E+11,3.06384E+11,3.05516E+11,3.11086E+11,3.23671E+11,3.37161E+11,3.46589E+11,3.58985E+11,3.70443E+11,3.77931E+11,3.79479E+11,4.14839E+11,3.83543E+11,3.53973E+11,3.46271E+11,3.48957E+11,3.6258E+11,3.75712E+11,3.70316E+11,3.64603E+11,3.57909E+11,3.62399E+11,3.69362E+11,3.69589E+11,3.82663E+11,3.90942E+11,3.9656E+11,4.11299E+11,4.19891E+11,4.25128E+11,4.02488E+11,4.19525E+11,4.26756E+11,,,
瑞士,CHE,耗电量（千瓦时）,EG.USE.ELEC.KH,16386000000,17531000000,18271000000,19084000000,19999000000,21003000000,21621000000,22467000000,23374000000,24685000000,26618000000,28677000000,29904000000,31601000000,31879000000,30925000000,32035000000,33447000000,34678000000,36376000000,37868000000,38885000000,39558000000,40634000000,42523000000,44350000000,45493000000,46884000000,47498000000,48983000000,50000000000,51261000000,51086000000,50199000000,50044000000,51279000000,52286000000,52045000000,53192000000,54629000000,56364000000,57783000000,58507000000,60144000000,60637000000,61768000000,62569000000,61642000000,63521000000,62114000000,63966000000,62732000000,,,
海峡群岛,CHI,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,7569000000,7960000000,7780000000,8349000000,7745000000,8269000000,8671000000,9249000000,9864000000,10309000000,10645000000,10421000000,10794000000,11678000000,12112000000,12796000000,13331000000,14409000000,15785000000,16429000000,17732000000,19991000000,21123000000,22506000000,25100000000,28103000000,30598000000,32606000000,36284000000,38345000000,40787000000,42785000000,45929000000,49077000000,50096000000,52701000000,55202000000,55777000000,55666000000,56425000000,61758000000,,,
中国,CHN,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1.27177E+11,1.40042E+11,1.53274E+11,1.55112E+11,1.79959E+11,1.86658E+11,2.05288E+11,2.35748E+11,2.59087E+11,2.7634E+11,2.8407E+11,3.0178E+11,3.2441E+11,3.488E+11,3.8133E+11,4.1749E+11,4.624E+11,5.0873E+11,5.452E+11,5.79584E+11,6.31661E+11,7.04337E+11,7.80761E+11,8.66475E+11,9.27959E+11,9.99591E+11,1.04882E+12,1.08113E+12,1.14484E+12,1.25423E+12,1.36984E+12,1.53065E+12,1.77825E+12,2.05658E+12,2.32567E+12,2.67706E+12,3.07102E+12,3.2554E+12,3.50484E+12,3.93779E+12,4.4329E+12,,,
科特迪瓦,CIV,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,517000000,581000000,669000000,717000000,808000000,937000000,1044000000,1188000000,1528000000,1469000000,1586000000,1635000000,1627000000,1257000000,1499000000,1563000000,1825000000,1941000000,1849000000,1913000000,1835000000,1961000000,1914000000,2012000000,2504000000,2370000000,2603000000,2915000000,2819000000,2863000000,3071000000,3044000000,3069000000,3116000000,3151000000,3408000000,3587000000,3836000000,4023000000,4264000000,4119000000,,,
喀麦隆,CMR,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1019000000,1068000000,1079000000,1229000000,1303000000,1272000000,1223000000,1265000000,1297000000,1346000000,1763000000,2027000000,2020000000,1997000000,2253000000,2167000000,2228000000,2323000000,2403000000,2345000000,2334000000,2360000000,2457000000,2213000000,2177000000,2314000000,2516000000,2539000000,2681000000,2719000000,2631000000,2536000000,2808000000,3320000000,3306000000,4477000000,4753000000,5143000000,5243000000,5319000000,5406000000,,,
刚果（布）,COG,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,77000000,81000000,91000000,95000000,102000000,109000000,115000000,121000000,131000000,148000000,128000000,197000000,193000000,298000000,232000000,372000000,390000000,375000000,390000000,410000000,448000000,442000000,411000000,380000000,410000000,430000000,370000000,327000000,211000000,299000000,337000000,382000000,391000000,370000000,425000000,471000000,495000000,577000000,600000000,600000000,725000000,,,
哥伦比亚,COL,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,9126000000,9015000000,9963000000,11118000000,10934000000,11552000000,12907000000,14621000000,15980000000,17143000000,17440000000,18529000000,19068000000,21129000000,22619000000,24743000000,24492000000,25605000000,27637000000,28852000000,29410000000,26805000000,30628000000,32551000000,33525000000,33780000000,34621000000,34308000000,32281000000,33511000000,34858000000,35695000000,36357000000,38381000000,38776000000,41536000000,43260000000,43759000000,47726000000,46867000000,52857000000,,,
科摩罗,COM,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,CPV,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥斯达黎加,CRI,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1148000000,1267000000,1347000000,1468000000,1531000000,1647000000,1760000000,1925000000,1997000000,2226000000,2365000000,2356000000,2382000000,2637000000,2757000000,3027000000,3303000000,3383000000,3272000000,3344000000,3592000000,4619000000,4495000000,4384000000,4526000000,4540000000,5057000000,4996000000,5578000000,5971000000,5994000000,6392000000,6844000000,7096000000,7376000000,7921000000,8305000000,8432000000,8342000000,8643000000,8736000000,,,
加勒比小国,CSS,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,2543000000,2981000000,3074000000,3242000000,2558000000,2809000000,3028000000,3150000000,3316000000,3465000000,3705000000,4414000000,4589000000,4375000000,4379000000,4723000000,5008000000,4624000000,4449000000,5378000000,4997000000,7082000000,7293000000,7868000000,9089000000,9476000000,10166000000,10589000000,10779000000,11103000000,11308000000,11532000000,12651000000,12548000000,13237000000,13039000000,12849000000,12862000000,12700000000,11207000000,12634000000,,,
古巴,CUB,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,4486000000,4648000000,5023000000,5326000000,5882000000,6406000000,6952000000,7658000000,8444000000,8274000000,9533000000,10008000000,10493000000,11199000000,10126000000,10933000000,11226000000,11930000000,12450000000,12847000000,11195000000,9711000000,9065000000,9738000000,10010000000,10660000000,11432000000,11540000000,11977000000,12661000000,12927000000,13273000000,13401000000,13223000000,13008000000,13820000000,14651000000,14869000000,14979000000,14629000000,14958000000,,,
库拉索,CUW,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,615000000,712000000,774000000,670000000,669000000,749000000,810000000,865000000,924000000,970000000,990000000,1063000000,1149000000,1175000000,1243000000,1334000000,1411000000,1540000000,1724000000,1863000000,1943000000,2272000000,2460000000,2560000000,2382000000,2460000000,2555000000,2815000000,2943000000,3182000000,3318000000,3618000000,3893000000,3988000000,4213000000,4431000000,4656000000,4925000000,5026000000,5102000000,4769000000,,,
捷克共和国,CZE,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,33649000000,35482000000,37010000000,38559000000,40549000000,42260000000,43731000000,46089000000,45208000000,47246000000,47792000000,48228000000,49680000000,51236000000,53150000000,54393000000,56365000000,57005000000,57783000000,57871000000,54185000000,52397000000,51984000000,53600000000,56497000000,59100000000,58322000000,57698000000,56498000000,58493000000,60198000000,60103000000,61927000000,63532000000,64917000000,66845000000,67130000000,67387000000,64119000000,66496000000,66005000000,,,
德国,DEU,耗电量（千瓦时）,EG.USE.ELEC.KH,1.15539E+11,1.23525E+11,1.32557E+11,1.43222E+11,1.55197E+11,1.6668E+11,1.76219E+11,1.81829E+11,1.994E+11,2.19333E+11,2.99715E+11,3.18299E+11,3.41175E+11,3.67449E+11,3.79314E+11,3.73223E+11,4.03195E+11,4.13095E+11,4.35342E+11,4.52049E+11,4.53878E+11,4.5728E+11,4.56059E+11,4.66071E+11,4.85836E+11,5.00954E+11,5.07533E+11,5.18898E+11,5.29532E+11,5.38291E+11,5.27414E+11,5.25275E+11,5.19696E+11,5.10345E+11,5.08579E+11,5.16835E+11,5.24528E+11,5.27303E+11,5.31624E+11,5.34073E+11,5.45508E+11,5.56904E+11,5.69235E+11,5.76364E+11,5.84424E+11,5.86639E+11,5.9098E+11,5.91027E+11,5.87014E+11,5.53091E+11,5.85703E+11,5.79206E+11,,,
吉布提,DJI,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多米尼克,DMA,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹麦,DNK,耗电量（千瓦时）,EG.USE.ELEC.KH,4990000000,5499000000,6302000000,7017000000,7671000000,8655000000,9520000000,10292000000,11380000000,12819000000,14260000000,15184000000,16706000000,17216000000,16377000000,17277000000,19244000000,20352000000,22022000000,23240000000,23562000000,23508000000,23946000000,24240000000,25454000000,27364000000,28770000000,29708000000,30049000000,30046000000,30562000000,32046000000,32250000000,32724000000,34046000000,33622000000,34982000000,34919000000,34500000000,34637000000,34614000000,34779000000,35125000000,35592000000,35754000000,36088000000,37108000000,36419000000,35896000000,34352000000,35102000000,34103000000,,,
多米尼加共和国,DOM,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1517000000,1468000000,1955000000,1829000000,2072000000,2013000000,2280000000,2269000000,2675000000,2561000000,2630000000,1991000000,2270000000,2815000000,3082000000,3199000000,3222000000,2617000000,2348000000,2791000000,2918000000,4035000000,3870000000,4081000000,3923000000,5086000000,5200000000,5598000000,5574000000,6257000000,9071000000,7376000000,7272000000,7597000000,6888000000,7760000000,8190000000,8279000000,8032000000,8319000000,9065000000,,,
阿尔及利亚,DZA,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1991000000,2184000000,2494000000,2756000000,3250000000,3760000000,4099000000,5050000000,5866000000,6349000000,7205000000,8305000000,8810000000,9604000000,10464000000,11211000000,10827000000,11779000000,13109000000,13693000000,14058000000,15130000000,15144000000,15545000000,16102000000,16697000000,17123000000,18674000000,19991000000,21211000000,22302000000,23280000000,25373000000,26288000000,29524000000,29013000000,30555000000,32900000000,30610000000,36576000000,41183000000,,,
东亚与太平洋,EAP,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1.61399E+11,1.77818E+11,1.96153E+11,1.99658E+11,2.28007E+11,2.38151E+11,2.61053E+11,2.9618E+11,3.2443E+11,3.47E+11,3.56387E+11,3.7914E+11,4.07611E+11,4.36721E+11,4.79166E+11,5.19602E+11,5.73369E+11,6.32115E+11,6.82395E+11,7.29199E+11,7.91243E+11,8.74579E+11,9.64495E+11,1.07391E+12,1.15945E+12,1.25584E+12,1.32668E+12,1.36292E+12,1.44143E+12,1.57637E+12,1.71012E+12,1.89011E+12,2.16219E+12,2.47158E+12,2.76252E+12,3.13998E+12,3.56486E+12,3.7714E+12,4.057E+12,4.54319E+12,5.06143E+12,,,
